mesh_code,daytime_population
533934334,1377
533934341,58
533934342,23
533934343,166
533934344,331
533934351,137
533934352,317
533934353,2049
533934354,630
533934361,783
533934362,628
533934363,1041
533934364,496
533934371,1361
533934372,923
533934373,275
533934374,510
533934381,1642
533934382,1569
533934383,1198
533934384,347
533934391,824
533934392,28
533934393,2
533934394,658
533934432,438
533934434,888
533934441,443
533934442,2891
533934443,592
533934444,401
533934451,3020
533934452,3783
533934453,808
533934454,669
533934461,689
533934462,249
533934463,946
533934464,212
533934471,18
533934472,53
533934473,281
533934474,1034
533934481,181
533934482,479
533934483,427
533934484,816
533934491,916
533934492,1525
533934493,440
533934494,327
533934532,552
533934534,732
533934541,770
533934542,668
533934543,1192
533934544,375
533934551,1256
533934552,691
533934553,175
533934554,160
533934561,281
533934562,287
533934563,2602
533934564,782
533934571,742
533934572,303
533934573,524
533934574,463
533934581,552
533934582,237
533934583,951
533934584,276
533934591,410
533934592,147
533934593,149
533934594,719
533934632,115
533934634,120
533934642,37
533934643,483
533934644,237
533934651,274
533934652,392
533934653,405
533934654,857
533934661,1931
533934662,1004
533934663,630
533934664,450
533934671,1730
533934672,768
533934673,780
533934674,4499
533934681,889
533934682,1111
533934683,1427
533934684,819
533934691,1361
533934692,1457
533934693,331
533934694,823
533934732,122
533934734,941
533934741,751
533934742,825
533934743,1557
533934744,1583
533934751,2224
533934752,1123
533934753,2085
533934754,359
533934761,443
533934762,259
533934763,641
533934764,295
533934771,79
533934772,456
533934773,560
533934774,723
533934781,1820
533934782,2206
533934783,189
533934784,588
533934791,1283
533934792,546
533934793,351
533934794,3288
533934832,6708
533934834,4721
533934841,1389
533934842,2613
533934843,534
533934844,190
533934851,623
533934852,496
533934853,1504
533934854,1195
533934861,160
533934862,401
533934863,943
533934864,474
533934871,634
533934872,624
533934873,964
533934874,387
533934881,167
533934882,674
533934883,432
533934884,887
533934891,1744
533934892,575
533934893,992
533934894,1120
533934932,778
533934934,669
533934941,693
533934942,425
533934943,292
533934944,276
533934951,1453
533934952,1196
533934953,342
533934954,89
533934961,1931
533934962,4794
533934963,275
533934964,1484
533934971,557
533934972,281
533934973,913
533934974,325
533934981,310
533934982,1149
533934983,987
533934984,816
533934991,1260
533934992,1260
533934993,433
533934994,639
533935001,3526
533935002,1337
533935003,1485
533935004,598
533935011,7329
533935012,588
533935013,1398
533935014,367
533935021,274
533935022,367
533935023,90
533935024,8
533935031,138
533935032,401
533935033,172
533935034,689
533935041,475
533935042,1386
533935043,2445
533935044,624
533935051,625
533935052,2281
533935053,290
533935054,1226
533935061,1700
533935062,774
533935063,700
533935064,1107
533935071,315
533935072,898
533935073,549
533935074,569
533935081,7037
533935082,6754
533935083,19133
533935084,16934
533935091,3477
533935092,1966
533935093,37
533935094,1
533935101,429
533935102,1649
533935103,834
533935104,2991
533935111,1524
533935112,172
533935113,385
533935114,717
533935121,366
533935122,202
533935123,1426
533935124,238
533935131,181
533935132,608
533935133,1417
533935134,802
533935141,2672
533935142,1334
533935143,372
533935144,1129
533935151,1609
533935152,960
533935153,877
533935154,357
533935161,1168
533935162,1037
533935163,3389
533935164,1325
533935171,1074
533935172,719
533935173,851
533935174,805
533935181,611
533935182,3444
533935183,1128
533935184,876
533935191,605
533935192,308
533935193,1181
533935194,2469
533935201,581
533935202,104
533935203,102
533935204,179
533935211,519
533935212,316
533935213,166
533935214,1055
533935221,618
533935222,796
533935223,2319
533935224,643
533935231,1002
533935232,1395
533935233,5319
533935234,4800
533935241,414
533935242,252
533935243,553
533935244,4750
533935251,432
533935252,1968
533935253,651
533935254,1109
533935261,1227
533935262,2178
533935263,2455
533935264,1370
533935271,1634
533935272,1733
533935273,1782
533935274,1212
533935281,1677
533935282,2988
533935283,4884
533935284,14360
533935291,2713
533935292,10029
533935293,2275
533935294,4589
533935301,15821
533935302,945
533935303,7137
533935304,704
533935311,886
533935312,1540
533935313,938
533935314,1402
533935321,934
533935322,420
533935323,676
533935324,1834
533935331,2577
533935332,2953
533935333,1918
533935334,795
533935341,720
533935342,1472
533935343,1406
533935344,774
533935351,1554
533935352,2177
533935353,657
533935354,1991
533935361,6047
533935362,1805
533935363,1525
533935364,2607
533935371,3064
533935372,682
533935373,2905
533935374,1143
533935381,2749
533935382,1673
533935383,9752
533935384,2723
533935391,3786
533935392,22617
533935393,2564
533935394,3637
533935401,882
533935402,1030
533935403,1214
533935404,1861
533935411,739
533935412,286
533935413,1439
533935414,876
533935421,1225
533935422,491
533935423,596
533935424,968
533935431,524
533935432,1447
533935433,401
533935434,546
533935441,3751
533935442,762
533935443,585
533935444,2375
533935451,867
533935452,903
533935453,910
533935454,1419
533935461,3935
533935462,1776
533935463,952
533935464,1585
533935471,5068
533935472,1867
533935473,4641
533935474,23876
533935481,36241
533935482,14810
533935483,34867
533935484,11045
533935491,2990
533935492,3513
533935493,8974
533935494,13030
533935501,1864
533935502,10507
533935503,663
533935504,1011
533935511,3392
533935512,1249
533935513,3182
533935514,2258
533935521,853
533935522,1422
533935523,1506
533935524,3041
533935531,2169
533935532,840
533935533,490
533935534,1000
533935541,879
533935542,2800
533935543,419
533935544,2840
533935551,2326
533935552,1992
533935553,2167
533935554,990
533935561,283
533935562,1701
533935563,1105
533935564,5304
533935571,6480
533935572,24244
533935573,9280
533935574,1793
533935581,16071
533935582,9042
533935583,4325
533935584,5219
533935591,42008
533935592,11238
533935593,26739
533935594,16544
533935601,1455
533935602,408
533935603,520
533935604,989
533935611,1125
533935612,788
533935613,1434
533935614,885
533935621,647
533935622,1241
533935623,793
533935624,764
533935631,2277
533935632,771
533935633,3346
533935634,2208
533935641,540
533935642,346
533935643,900
533935644,870
533935651,2206
533935652,1109
533935653,1333
533935654,3063
533935661,885
533935662,5348
533935663,2799
533935664,1299
533935671,18750
533935672,2983
533935673,2986
533935674,2019
533935681,1159
533935682,3486
533935683,3664
533935684,1418
533935691,2841
533935692,2207
533935693,8324
533935694,20773
533935701,620
533935702,721
533935703,902
533935704,2777
533935711,351
533935712,1890
533935713,447
533935714,385
533935721,2600
533935722,2092
533935723,3892
533935724,809
533935731,1472
533935732,14187
533935733,749
533935734,1217
533935741,2296
533935742,2779
533935743,3134
533935744,1848
533935751,1086
533935752,8960
533935753,5277
533935754,6512
533935761,5560
533935762,9932
533935763,7881
533935764,25036
533935771,17707
533935772,1975
533935773,16613
533935774,4430
533935781,2542
533935782,8266
533935783,2684
533935784,2582
533935791,12685
533935792,43635
533935793,6027
533935794,29712
533935801,238
533935802,3492
533935803,977
533935804,572
533935811,2198
533935812,1223
533935813,539
533935814,1328
533935821,460
533935822,672
533935823,3004
533935824,629
533935831,1309
533935832,1119
533935833,1531
533935834,623
533935841,1283
533935842,7103
533935843,894
533935844,1385
533935851,6728
533935852,5095
533935853,5037
533935854,54065
533935861,6343
533935862,6919
533935863,35444
533935864,13875
533935871,3379
533935872,4971
533935873,2997
533935874,2620
533935881,1526
533935882,3193
533935883,1738
533935884,6555
533935891,4634
533935892,27780
533935893,5951
533935894,3403
533935901,356
533935902,1257
533935903,610
533935904,481
533935911,676
533935912,131
533935913,2197
533935914,551
533935921,1041
533935922,908
533935923,549
533935924,720
533935931,5140
533935932,2011
533935933,2428
533935934,1225
533935941,1052
533935942,2025
533935943,1123
533935944,1123
533935951,2777
533935952,33085
533935953,5070
533935954,17148
533935961,52615
533935962,17342
533935963,17644
533935964,18491
533935971,8863
533935972,5737
533935973,9858
533935974,465
533935981,26257
533935982,8448
533935983,15589
533935984,10279
533935991,4290
533935992,14404
533935993,33546
533935994,32448
533936001,516
533936002,719
533936003,0
533936004,345
533936011,847
533936012,196
533936013,1281
533936014,1188
533936021,200
533936023,78
533936101,28
533936102,2510
533936103,2166
533936104,638
533936111,902
533936112,1015
533936113,230
533936132,3
533936134,352
533936141,118
533936143,84
533936201,215
533936202,423
533936203,1399
533936204,374
533936211,78
533936224,336
533936232,178
533936243,12
533936301,1492
533936302,348
533936303,1117
533936322,1152
533936323,1814
533936324,300
533936331,196
533936333,18
533936401,7487
533936403,9501
533936404,401
533936412,508
533936414,316
533936421,5674
533936422,948
533936423,957
533936424,8
533936431,37
533936432,418
533936433,349
533936434,126
533936462,161
533936463,63
533936464,9
